ReactionID	StochCoeff	Product	other site
R06354	2	C00001	
R06354	1	C03161	
R06354	1	C11887	
R03374	1	C00010	
R03374	1	C01850	
R06885	1	C00001	
R06885	1	C13632	
R09667	1	C00035	
R09667	1	C19793	
R10493	1	C00013	
R10493	1	C20576	
R05903	1	G10619	
R05903	1	G00103	
R07677	1	C14899	
R00123	1	C00104	
R00123	1	C00014	
R03474	1	C01281	
R03474	1	C00008	
R05676	1	C00021	
R05676	1	C07032	
R08641	1	C17227	
R08370	1	C19749	
R08370	1	C00013	
R08336	1	C16653	
R12507	1	C00073	
R12507	1	C00940	
R01201	1	C00008	
R01201	1	C00357	
R10021	1	C00080	
R10021	1	C00004	
R10021	1	C03037	
R01836	1	C00280	
R01836	1	C00080	
R01836	1	C00004	
R06026	1	G00062	
R06026	1	G10621	
R09325	1	C18629	
R01390	1	C00975	
R10649	1	C00021	
R10649	1	C00073	
R10649	1	C20752	
R10649	1	C05198	
R03054	1	C02394	
R03054	1	C00006	
R04676	3	C00001	
R04676	1	C02373	
R04676	4	C00667	
R04676	1	C05138	
R02783	1	C00692	
R02783	1	C00009	
R02783	1	C00008	
R04729	1	C05329	
R12222	1	C00011	
R12222	1	C00042	
R12222	1	C09265	
R12278	1	C01477	
R12278	2	C00001	
R12278	1	C03161	
R01748	1	C00009	
R01748	1	C00258	
R06794	1	C00021	
R06794	1	C10521	
R06998	1	C12044	
R06998	1	C00021	
R02350	1	C00054	
R02350	1	C02538	
R06114	1	C00031	
R06114	1	C00124	
R03936	1	C00041	
R03936	1	C05653	
R02432	1	C00013	
R02432	1	C03565	
R03371	1	C00009	
R03371	1	C04563	
R01566	1	C00086	
R01566	1	C00213	
R11597	2	C00001	
R11597	1	C03161	
R11597	1	C18796	
R07407	1	C00080	
R07407	1	C00005	
R07407	1	C05840	
R05060	1	C00030	
R05060	1	C05964	
R08956	1	C00251	
R08956	1	C00064	
R00077	2	C02308	
R00077	4	C00009	
R01351	1	C00162	
R01351	1	C00116	
R05114	1	C00055	
R05114	1	C06139	
R01064	1	C00022	
R01064	1	C00118	
R07820	1	G13041	
R07820	1	C00426	
R02546	1	C00552	
R10155	1	C00001	
R10155	1	C00006	
R10155	1	C20402	
R05971	1	G10619	
R05971	1	G00036	
R12256	1	C00331	
R12256	1	C00080	
R12256	1	C00004	
R04936	1	C00212	
R04936	1	C05698	
R11890	1	C07649	
R06692	1	C12432	
R06692	2	C00001	
R06692	1	C00006	
R00802	1	C02336	
R00802	1	C00267	
R08740	1	C00030	
R08740	1	C05447	
R08908	1	C00001	
R08908	1	C00061	
R08908	1	C18009	
R10413	1	C00011	
R10413	1	C20603	
R10413	1	C00042	
R09600	1	C19745	
R04257	1	C05901	
R09833	1	C00013	
R09833	1	C19970	
R11905	1	C02320	
R06700	1	C00001	
R06700	1	C12368	
R04801	1	C05434	
R03378	1	C00035	
R03378	1	C03366	
R11958	2	C00010	
R11958	1	C21651	
R02156	1	C04524	
R02156	1	C00237	
R09105	1	C00156	
R09105	1	C00530	
R04072	1	C02863	
R04072	1	C00110	
R08233	1	C04242	
R08233	1	C00008	
R03066	1	C00001	
R03066	1	C00921	
R08781	1	C00021	
R08781	1	C00399	
R10830	1	G00711	
R10830	1	C00191	
R05345	1	C08592	
R05345	3	C00001	
R05345	2	C00028	
R07503	1	C14151	
R00481	1	C00027	
R00481	1	C05840	
R06086	1	G00079	
R06086	1	G10620	
R09423	1	C00001	
R09423	1	C19566	
R09423	1	C00006	
R10545	1	C00132	
R10545	1	C20689	
R09742	1	C15603	
R09742	1	C19862	
R09622	1	C00010	
R09622	1	C06717	
R03088	1	C00001	
R03088	1	C05301	
R03088	1	C00003	
R09085	1	C00020	
R09085	1	C00668	
R00776	1	C00086	
R00776	1	C00048	
R05768	1	C00035	
R05768	1	C11516	
R09907	1	C19918	
R07148	1	C16581	
R07148	1	C00080	
R07148	1	C00004	
R05142	1	C06218	
R05142	1	C00031	
R08500	1	C09782	
R06102	1	C02336	
R06102	1	C00668	
R01984	1	C00001	
R01984	1	C06430	
R04743	1	C05265	
R04743	1	C00080	
R04743	1	C00004	
R10840	1	C00033	
R10840	1	C20893	
R02173	1	C00637	
R02173	1	C00027	
R02173	1	C00014	
R07353	2	C00001	
R07353	2	C00027	
R07353	1	C00113	
R03450	1	C00009	
R03450	1	C01256	
R03774	1	C00001	
R03774	1	C03979	
R08480	1	C07576	
R08480	1	C00008	
R11204	1	C21173	
R11204	1	C00641	
R00983	1	C00011	
R00983	1	C00108	
R03548	1	C00015	
R03548	1	C01421	
R08015	1	C00001	
R08015	2	C00006	
R08015	1	C16402	
R10129	1	C10682	
R10129	2	C00080	
R10129	2	C00004	
R10785	1	C20849	
R10785	1	C00080	
R10785	1	C00004	
R08817	1	C17752	
R08817	1	C00015	
R02631	1	C00352	
R02631	1	C00615	
R03990	1	C05273	
R03990	1	C01352	
R00448	1	C00001	
R00448	1	C01028	
R00448	1	C00006	
R00629	1	C00054	
R00629	1	C02000	
R07817	1	G13040	
R07817	1	C00059	
R09480	1	C00071	
R09480	2	C00080	
R09480	2	C05358	
R00075	3	C00170	
R00075	1	C05324	
R10698	1	C20668	
R10698	1	C00025	
R07059	1	C14830	
R12026	3	C00001	
R12026	1	C00153	
R12026	1	C20784	
R07098	1	C00001	
R07098	1	C11148	
R07098	1	C00006	
R02408	1	C01962	
R02408	1	C00022	
R02408	1	C00014	
R08405	1	C00275	
R08405	1	C00060	
R06322	1	C11860	
R06322	1	C00011	
R06322	1	C00042	
R04142	1	C05548	
R04142	1	C00001	
R04142	1	C00003	
R11063	2	C00073	
R08566	1	C00011	
R08566	1	C02939	
R08566	1	C00080	
R08566	2	C00138	
R01564	1	C00067	
R01564	1	C00027	
R01564	1	C00213	
R01915	1	C00030	
R01915	1	C00986	
R01915	1	C00555	
R07626	1	C00613	
R07626	1	C00301	
R02726	1	C00001	
R02726	2	C00667	
R02726	1	C01058	
R11320	1	G00403	
R11320	1	G10619	
R12001	1	C21284	
R07164	1	C00080	
R07164	1	C00004	
R07164	1	C00036	
R07164	1	C00014	
R00153	2	C00014	
R00441	1	C00013	
R00441	1	C00046	
R05367	1	C01327	
R05367	1	C06611	
R05032	1	C05898	
R05032	1	C00015	
R00543	1	C00022	
R00543	1	C00060	
R05813	1	C00011	
R05813	2	C00021	
R05813	1	C11545	
R09625	1	C19752	
R02770	1	C04136	
R04786	1	C00030	
R04786	1	C05414	
R12090	1	C00080	
R12090	1	C00005	
R12090	1	C20379	
R03955	1	C00021	
R03955	1	C05830	
R09772	1	C00013	
R09772	1	C19881	
R10695	1	C16999	
R10695	1	C00014	
R05214	1	C06517	
R05214	1	C00021	
R11543	1	C20829	
R11543	1	C00641	
R08996	1	C18083	
R08996	1	C00013	
R07323	1	C06309	
R11947	1	C00051	
R11947	1	C00094	
R03143	1	C01599	
R03143	1	C00009	
R03386	1	C01215	
R03386	1	C00006	
R09718	1	C00037	
R09718	1	C00048	
R10342	2	C00013	
R10342	1	C20565	
R12340	1	C00035	
R12340	1	C22089	
R06189	1	G10619	
R06189	1	G00077	
R11716	1	C00111	
R11716	1	C00011	
R04099	1	C02943	
R04099	1	C00080	
R04099	1	C00005	
R00069	1	C00001	
R00069	1	C03680	
R00069	1	C00007	
R11998	1	G13113	
R11998	1	C02970	
R01347	1	C00001	
R01347	1	C03547	
R01347	2	C00435	
R03562	1	C01467	
R03562	1	C00001	
R03562	1	C00006	
R05694	1	C05528	
R05694	1	C00080	
R05694	1	C00005	
R07099	1	C00001	
R07099	1	C00006	
R07099	1	C14866	
R07502	1	C02483	
R10203	1	C11145	
R10203	1	C00067	
R10203	2	C00001	
R10203	2	C00061	
R10254	1	C00010	
R10254	1	C20465	
R11036	1	C21064	
R11036	1	C00080	
R11036	1	C00004	
R01240	1	C03097	
R01240	1	C00015	
R01615	1	C00080	
R01615	1	C00005	
R01615	1	C00223	
R10825	1	C00011	
R10825	1	C00010	
R10825	1	C20877	
R10349	1	C00013	
R10349	1	C00118	
R10349	1	C20525	
R05745	1	C00030	
R05745	1	C11348	
R08220	1	C16635	
R08220	1	C16834	
R08220	1	C00011	
R05572	1	C01327	
R05572	1	C06557	
R08389	1	C04233	
R08389	1	C03455	
R11177	1	C20361	
R11177	1	C00027	
R01686	1	C00077	
R01686	1	C01959	
R02640	1	C00618	
R02640	1	C00080	
R02640	1	C00004	
R07545	1	C15917	
R08789	1	C00021	
R08789	1	C02915	
R05780	1	C07331	
R05780	1	C01328	
R05780	1	C00014	
R10090	1	C00013	
R10090	1	C00020	
R10090	1	C20333	
R00273	2	C00011	
R00273	1	C00027	
R02715	1	C06316	
R02715	1	C00027	
R00347	1	C00036	
R00347	1	C00014	
R01008	1	C04678	
R01008	1	C00015	
R02808	1	C02436	
R02808	1	C00021	
R00880	1	C00976	
R00880	2	C00080	
R00880	2	C00004	
R02008	1	C06069	
R02907	1	C00001	
R02907	1	C01173	
R03358	1	C03765	
R03358	1	C00014	
R07656	1	C16148	
R09578	3	C00001	
R09578	1	C00011	
R09578	2	C03161	
R09578	1	C19714	
R09699	1	C00001	
R09699	1	C19827	
R02840	1	C05489	
R02840	1	C00003	
R11773	1	C00163	
R11773	1	C00091	
R11952	2	C00001	
R11952	2	C00667	
R11952	1	C21797	
R03502	1	C00041	
R03502	1	C04673	
R05651	1	C00094	
R05651	1	C00227	
R03793	1	C02137	
R03793	1	C00030	
R05635	1	C11440	
R05635	1	C00058	
R08033	1	C16398	
R06476	1	C00021	
R06476	1	C11972	
R05777	1	C00009	
R05777	1	C11525	
R09120	1	C00013	
R09120	1	C11877	
R12160	1	C21970	
R12160	1	C00015	
R02393	1	C00080	
R02393	1	C00500	
R02393	1	C00005	
R03438	1	C00010	
R03438	1	C05212	
R01923	1	C00010	
R01923	1	C02990	
R10661	2	C00013	
R10661	2	C00020	
R10661	1	C20563	
R02318	1	C04617	
R04498	1	C00031	
R04498	1	C04576	
R08905	1	C00009	
R08905	1	C00008	
R08905	1	C18006	
R12576	1	C00013	
R12576	1	C20884	
R08944	1	C00033	
R08944	1	C01209	
R06897	1	C06201	
R07813	1	C06472	
R07813	1	G13036	
R08826	1	C00001	
R08826	1	C08543	
R08826	1	C17753	
R12599	1	C00013	
R12599	1	C00020	
R12599	1	C22069	
R05799	1	C11174	
R05799	1	C00008	
R10012	1	C20279	
R10012	1	C00080	
R10012	1	C00004	
R10012	1	C00014	
R08856	1	C00105	
R08856	1	C01289	
R04818	1	C05451	
R04818	1	C00080	
R04818	1	C00004	
R04480	1	C04438	
R04480	1	C00040	
R00454	1	C00010	
R00454	1	C02727	
R03087	1	C00001	
R03087	1	C03161	
R03087	1	C00951	
R03087	1	C00058	
R06600	1	C01848	
R07982	1	C16363	
R07982	1	C16364	
R07982	1	C00048	
R07918	1	C00121	
R07918	1	C16353	
R04104	1	C01490	
R11356	1	C21076	
R11356	1	C00001	
R11356	2	C00139	
R12359	1	C00001	
R12359	1	C22106	
R12359	1	C00003	
R02159	1	C00054	
R02159	1	C00616	
R07392	1	C00001	
R07392	1	C15650	
R02330	1	C01346	
R02330	1	C00009	
R04241	1	C00009	
R04241	1	C00008	
R04241	1	C03541	(n+1)
R12320	1	C00001	
R12320	1	C11142	
R12320	1	C00003	
R07204	1	C00001	
R07204	1	C03161	
R07204	1	C05454	
R03431	1	C00080	
R03431	1	C01244	
R03431	1	C00004	
R06643	1	C12354	
R06643	10	C00011	
R06643	10	C00010	
R07178	1	C00001	
R07178	1	C05422	
R07178	1	C08579	
R09125	1	C18232	
R11766	1	C00835	
R06856	1	C12837	
R06856	1	C00003	
R01807	1	C00010	
R01807	1	C04016	
R06446	1	C11923	
R12203	1	C21997	
R12203	1	C00009	
R06704	2	C00001	
R06704	1	C06801	
R06704	2	C00006	
R01251	1	C03912	
R01251	1	C00080	
R01251	1	C00005	
R06415	1	C00010	
R06415	1	C11950	
R12410	1	C22139	
R06765	1	C12468	
R09804	1	C19796	
R09804	1	C00015	
R07301	1	C00033	
R07301	1	C05332	
R07756	1	C10502	
R01098	1	C00880	
R01098	1	C00027	
R05140	1	C00089	
R05140	1	C06215	
R05333	1	C06254	
R05333	1	C00422	
R05443	1	C00001	
R05443	2	C00139	
R05443	1	C07216	
R01902	1	C00008	
R01902	1	C06441	
R00394	1	C00035	
R00394	1	C00040	
R00394	1	C00009	
R01365	1	C00332	
R01365	1	C00246	
R04135	1	C03678	
R04135	1	C00011	
R08174	1	C00010	
R08174	1	C01530	
R09192	1	C18296	
R09192	1	C01080	
R11984	1	C00001	
R11984	1	C21826	
R11984	1	C03161	
R05821	1	C00001	
R05821	1	C11631	
R10189	1	C00161	
R10189	1	C00080	
R10189	1	C00004	
R11240	1	C00009	
R11240	1	C17700	
R10675	1	C20748	
R10675	1	C00001	
R12456	1	C00013	
R12456	1	C22174	
R00338	1	C00033	
R00338	1	C00209	
R10436	1	C00015	
