kegg_compound	bigg_id	universal_bigg_id
C04489	mhpglu_c	mhpglu
C00253	nac_m	nac
C00003	nad_r	nad
C00003	nad_x	nad
C00006	nadp_m	nadp
C00153	ncam_m	ncam
C00014	nh4_m	nh4
C01342	nh4_m	nh4
C00007	o2_m	o2
C00036	oaa_x	oaa
C00077	orn_m	orn
C01602	orn_m	orn
C05533	oxag_m	oxag
C00601	pacald_m	pacald
C00054	pap_m	pap
C00032	pheme_m	pheme
C00009	pi_g	pi
C00009	pi_n	pi
C00100	ppcoa_m	ppcoa
C00013	ppi_n	ppi
C11526	ppmi12346p_c	ppmi12346p
C00449	saccrp__L_c	saccrp__L
C01722	sbt__L_c	sbt__L
C00089	sucr_c	sucr
C00101	thf_m	thf
C09332	thfglu_c	thfglu
C00068	thmpp_m	thmpp
C01637	trnaasn_m	trnaasn
C01638	trnaasp_m	trnaasp
C01644	trnaile_m	trnaile
C01647	trnamet_m	trnamet
C01648	trnaphe_m	trnaphe
C03512	trptrna_m	trptrna
C00052	udpgal_g	udpgal
C00379	xylt_e	xylt
C05813	2ombz_c	2ombz
C05119	3mbdhl_c	3mbdhl
C00413	Stmyn_c	Stmyn
C01586	bgly_c	bgly
C02972	dhlpro_c	dhlpro
C00139	fdxox_c	fdxox
C00439	forglu_c	forglu
C01384	male_c	male
C00197	3pg_p	3pg
C01674	chitob_p	chitob
C05824	scys__L_c	scys__L
C00074	pep_e	pep
C00800	guln__L_e	guln__L
C00311	icit_e	icit
C00631	2pg_e	2pg
C00036	oaa_p	oaa
C00795	tag__D_p	tag__D
C03150	rnam_e	rnam
C00431	5aptn_c	5aptn
C00185	cellb_e	cellb
C06421	cellb_e	cellb
C06422	cellb_e	cellb
C00527	glutcoa_c	glutcoa
C01451	salcn_c	salcn
C05593	3hoxpac_e	3hoxpac
C05551	peng_e	peng
C02954	6apa_p	6apa
C01451	salcn_p	salcn
C00216	arab__D_p	arab__D
C05841	nicrns_c	nicrns
C00440	5mthf_m	5mthf
C00021	ahcys_n	ahcys
C02220	amuco_c	amuco
C00337	dhor__S_n	dhor__S
C05345	f6p_B_c	f6p_B
C00040	acoa_x	acoa
C00501	cdpglc_c	cdpglc
C15606	dhmtp_c	dhmtp
C04186	5cmhm_c	5cmhm
C03063	2ohed_c	2ohed
C01218	6p2dhglcn_c	6p2dhglcn
C06473	2dhglcn_e	2dhglcn
C00846	3oxoadp_c	3oxoadp
C00846	3oxoadp_p	3oxoadp
C03586	5odhf2a_c	5odhf2a
C06730	4mcat_c	4mcat
C03345	2mb2coa_c	2mb2coa
C03460	2mp2coa_c	2mp2coa
C00014	nh3_c	nh3
C01342	nh3_c	nh3
C03771	5g2oxpt_c	5g2oxpt
C00193	bzal_c	bzal
C00261	bzal_c	bzal
C02480	ccmuac_c	ccmuac
C01494	fer_e	fer
C06756	p_xyl_e	p_xyl
C01455	tol_e	tol
C00755	vanln_c	vanln
C06157	S_gtrdhdlp_c	S_gtrdhdlp
C06112	glutrna_gln_c	glutrna_gln
C07208	m_xyl_c	m_xyl
C07208	m_xyl_p	m_xyl
C06406	pre3b_c	pre3b
C06408	pre8_c	pre8
C00435	rbrdxOX_c	rbrdxOX
C05691	seasmet_c	seasmet
C06672	vanlt_c	vanlt
C06672	vanlt_p	vanlt
C00755	vanln_p	vanln
C02656	pime_e	pime
C05938	4hglusa_c	4hglusa
C00511	acryl_c	acryl
C00126	focytcc553_c	focytcc553
C01071	focytcc553_c	focytcc553
C00265	dtt_c	dtt
C05332	peamn_c	peamn
C00010	coa_e	coa
C02782	2dglcn_c	2dglcn
C11540	copre4_c	copre4
C03765	4hoxpacd_c	4hoxpacd
C00474	rbt_c	rbt
C06893	d5kgp_c	d5kgp
C02985	fuc1p__L_c	fuc1p__L
C03892	pgp_EC_c	pgp_EC
C00741	diact_c	diact
