ec_number	bigg_reaction_id
2.6.1.1	PHETA1
2.6.1.5	PHETA1
2.6.1.57	PHETA1
2.6.1.9	PHETA1
3.6.3.27	PIuabcpp
3.1.1.32	PLIPA1A120pp
3.1.1.32	PLIPA1E160pp
3.1.1.4	PLIPA2A120pp
3.1.1.4	PLIPA2A140pp
3.1.1.4	PLIPA2A141pp
3.1.1.4	PLIPA2A180pp
3.1.3.-	PMDPHT
3.1.3.104	PMDPHT
3.1.1.85	PMEACPE
2.7.1.33	PNTK
4.2.1.24	PPBNGS
4.1.1.31	PPC
4.1.1.36	PPCDC
4.1.1.49	PPCK
2.8.3.1	PPCSCT
4.2.1.51	PPNDH
4.2.1.91	PPNDH
1.3.3.4	PPPGO3
1.14.12.19	PPPNDO
2.7.9.2	PPS
6.3.4.13	PRAGSr
6.3.3.1	PRAIS
5.3.1.24	PRAIi
3.6.1.31	PRATPP
6.3.5.3	PRFGS
2.5.1.19	PSCVT
4.1.1.65	PSD120
4.1.1.65	PSD160
4.1.1.65	PSD181
2.6.1.52	PSERT
3.1.3.3	PSP_L
2.7.8.8	PSSA160
2.7.8.8	PSSA180
2.7.8.8	PSSA181
2.3.1.222	PTA2
2.3.1.8	PTA2
2.3.1.8	PTAr
3.1.3	PTHRpp
3.6.3.31	PTRCabcpp
2.4.2.1	PUNP1
2.4.2.1	PUNP3
2.4.2.15	PUNP3
2.4.2.1	PUNP4
2.4.2.4	PUNP4
2.4.2.1	PUNP5
2.4.2.15	PUNP5
2.7.1.40	PYK
2.4.2.2	PYNP2r
2.4.2.3	PYNP2r
2.7.4.23	R15BPK
2.7.1.26	RBFK
2.7.1.15	RBK
2.7.1.16	RBK_L1
5.1.3.4	RBP4E
4.4.1.21	RHCCE
3.6.3.17	RIBabcpp
2.7.1.5	RMK
1.17.4.1	RNDR2
1.17.4.1	RNDR3
5.3.1.6	RPI
3.5.3.23	SADH
1.1.1.140	SBTPD
2.6.1.17	SDPTA
2.7.9.3	SELNPS
2.3.1.30	SERAT
4.3.1.15	SERD_L
4.3.1.17	SERD_L
4.3.1.19	SERD_L
3.1.2.12	SFGTHi
4.99.1.4	SHCHF
1.1.1.25	SHK3Dr
1.1.1.282	SHK3Dr
2.5.1.48	SHSL1
2.6.1.81	SOTA
2.3.1.57	SPMDAT1
