kegg_reaction_id	bigg_reaction_id
R00239	GLU5Km
R02487	GLUTCOADHm
R00466	GLXO2p
R00371	GLYATm
R00465	GLYCLTDym
R00847	GLYKm
R01108	GTHDH
R00274	GTHPe
R02640	GULN3D
R01481	GULNDer
R02287	GluForTx
R01975	HACD1m
R01961	HEX10
R02047	HIBDm
R01393	HPYRDC
R02353	HSD17B1
R01131	INSKm
R02405	ITCOAL1m
R00866	KHK
R01100	LACZe
R06114	LACZe
R01100	LACZly
R06114	LACZly
R01735	LCADi_D
R01682	LCYSTCBOXL
R00703	LDH_Lm
R00685	LTDCL
R00028	MALTly
R06154	MAOX
R04138	MCCCrm
R00233	MCDm
R00233	MCDp
R02245	MEVK1x
R00923	MMCDm
R00923	MMCDp
R02765	MMEm
R00922	MMSAD1m
R00705	MMSAD3m
R01218	MTHFD2m
R05908	N3Tg
R05050	NABTNOm
R00488	NACASPAH
R00102	NADNe
R00961	NDP10ex
R00328	NDP3ex
R00159	NDP8ex
R03530	NDPK10n
R00330	NDPK1n
R00156	NDPK2m
R00156	NDPK2n
R00570	NDPK3n
R02093	NDPK4m
R01857	NDPK5m
R01857	NDPK5n
R02331	NDPK6n
R02326	NDPK7m
R01137	NDPK8m
R00722	NDPK9m
R00722	NDPK9n
R04027	NMPTRCOX
R03005	NNATn
R02102	NTD1m
R00963	NTD2l
R00511	NTD4e
R00511	NTD4l
R01569	NTD5m
R02088	NTD6l
R00183	NTD7l
R01968	NTD8l
R01227	NTD9e
R01227	NTD9l
R00335	NTP3e
R01398	OCBTm
R00410	OCOAT1m
R01651	OIVD1m
R00667	ORNTArm
R01248	P5CRxm
R03376	PCLYSOX
R00191	PDE1g
R01234	PDE4g
R00431	PEPCKm
R00694	PHETA1m
R03245	PMEVKx
R02973	PNTEH
R00004	PPAer
R00004	PPAn
R00924	PPCOAOm
R00602	PRDXl
R01252	PROAKGOX1r
R03045	PRPNCOAHYDm
R03045	PRPNCOAHYDx
R04286	PTHPSn
R01154	PTRCAT1
R01151	PTRCOX1
R02126	RAI1
R02124	RDH1
R08379	RDH1a
R00716	SACCD3m
R00610	SARCOXp
R04930	SELCYSTGL
R00590	SERHL
R05693	SLDx
R00275	SPODMe
R00275	SPODMn
R00275	SPODMx
R08208	SPR
R00585	SPTix
R00713	SSALxm
R00432	SUCOAS1m
R00615	TDPm
R02810	THYPX
R01059	TRIOK
R02173	TRYPTAOX
R00736	TYRCBOX
R08615	UDPGNP
R00158	UMPKm
R02098	URIDK2m
R01769	XAO2x
R10053	R03184_PLUS_R00647
R01465	R01465m
R02664	2PGK
R05558	ATRZCH
R03298	CDPGS
R05804	GK_adp
R09594	H4MPTGL_atp
R09398	LPFPLT
R09098	MCMMT
R00342	MDHi2
R00343	MDHy
R09998	MMAMT
R02330	NTP8
R02095	NTP9
R10555	RBPI
R05693	SLDxi2
R05774	SPDC
R00400	ASPTA6
R00306	BGLA
R06104	BGLA
R00243	GDH1
R03189	GLUFT
R00868	MNLDH2
R07135	MNLDHr
