bigg_reaction_id	stoichiometry	product_bigg_id
AMPMS2	3.0	h_c
AMPMS2	1	nadh_c
AMPN	1	ade_c
AMPN	1	r5p_c
AMPtex	1	amp_p
ANHGMtex	1	anhgm_p
ANPRT	1	ppi_c
ANPRT	1	pran_c
AP4AS	1	ap4a_c
AP4AS	1	ppi_c
AP5AH	1	adp_c
AP5AH	1	atp_c
AP5AH	2.0	h_c
APG3PAT140	1	1tdecg3p_c
APG3PAT140	1	h_c
APG3PAT140	1	pi_c
APG3PAT141	1	1tdec7eg3p_c
APG3PAT141	1	h_c
APG3PAT141	1	pi_c
APG3PAT161	1	1hdec9eg3p_c
APG3PAT161	1	h_c
APG3PAT161	1	pi_c
APH140	2.0	h_c
APH140	1	pi_c
APH140	1	ttdca_c
APH141	2.0	h_c
APH141	1	pi_c
APH141	1	ttdcea_c
APH160	2.0	h_c
APH160	1	hdca_c
APH160	1	pi_c
APH161	2.0	h_c
APH161	1	hdcea_c
APH161	1	pi_c
ARAI	1	rbl__L_c
ARBTNR1	2.0	arbtn_c
ARBTNR1	1	fad_c
ARBTNR1	2.0	fe2_c
ARBTNR1	2.0	h_c
ARBTNexs	1	arbtn_fe3_e
ARBTNtpp	1	h_c
ARBTNtpp	1	arbtn_p
ARBabcpp	1	adp_c
ARBabcpp	1	arab__L_c
ARBabcpp	1	h_c
ARBabcpp	1	pi_c
ARBtex	1	arab__L_p
ARGAGMt7pp	1	arg__L_c
ARGAGMt7pp	1	agm_p
ARGDC	1	agm_c
ARGDC	1	co2_c
ARGDCpp	1	agm_p
ARGDCpp	1	co2_p
ARGSS	1	amp_c
ARGSS	1	argsuc_c
ARGSS	1	h_c
ARGSS	1	ppi_c
ARGTRS	1	amp_c
ARGTRS	1	argtrna_c
ARGTRS	1	ppi_c
ARGt3pp	1	h_c
ARGt3pp	1	arg__L_p
ARGtex	1	arg__L_p
ASAD	1	4pasp_c
ASAD	1	h_c
ASAD	1	nadph_c
ASCBPL	1	3dhgulnp_c
ASCBPL	1	h_c
ASCBtex	1	ascb__L_p
ASNN	1	asp__L_c
ASNN	1	nh4_c
ASNS2	1	amp_c
ASNS2	1	asn__L_c
ASNS2	1	h_c
ASNS2	1	ppi_c
ASNabcpp	1	adp_c
ASNabcpp	1	asn__L_c
ASNabcpp	1	h_c
ASNabcpp	1	pi_c
ASNt2rpp	1	asn__L_c
ASNt2rpp	1	h_c
ASNtex	1	asn__L_p
ASPO3	1	h_c
ASPO3	1	iasp_c
ASPO3	1	q8h2_c
ASPO4	1	h_c
ASPO4	1	iasp_c
ASPO4	1	mql8_c
ASPT	1	fum_c
ASPT	1	nh4_c
ASPTA	1	glu__L_c
ASPTA	1	oaa_c
ASPTRS	1	amp_c
ASPTRS	1	asptrna_c
ASPTRS	1	ppi_c
ASPabcpp	1	adp_c
ASPabcpp	1	asp__L_c
ASPabcpp	1	h_c
ASPabcpp	1	pi_c
ASPt2_2pp	1	asp__L_c
ASPt2_2pp	2.0	h_c
ASPtex	1	asp__L_p
AST	1	coa_c
AST	1	h_c
AST	1	sucarg_c
ATHRDHr	1	2aobut_c
ATHRDHr	1	h_c
ATHRDHr	1	nadph_c
ATPHs	1	itp_c
ATPHs	1	nh4_c
ATPM	1	adp_c
ATPM	1	h_c
ATPM	1	pi_c
ATPS4rpp	1	atp_c
ATPS4rpp	3.0	h_c
ATPS4rpp	1	h2o_c
BALAt2pp	1	ala_B_c
BALAt2pp	1	h_c
BETALDHx	1	glyb_c
BETALDHx	2.0	h_c
BETALDHx	1	nadh_c
BMOCOS	1	amp_c
BMOCOS	1	bmoco_c
BMOCOS	1	cu2_c
BUTCT	1	ac_c
BUTCT	1	btcoa_c
BUTSO3abcpp	1	adp_c
BUTSO3abcpp	1	butso3_c
BUTSO3abcpp	1	h_c
BUTSO3abcpp	1	pi_c
BUTt2rpp	1	but_c
BUTt2rpp	1	h_c
BUTtex	1	but_p
BWCOGDS1	1	bwco1gdp_c
BWCOGDS1	1	ppi_c
BWCOS	1	amp_c
BWCOS	1	bwco_c
BWCOS	1	cu2_c
CA2t3pp	1	h_c
CA2t3pp	1	ca2_p
CA2tex	1	ca2_p
CBItonex	1	h_c
CBItonex	1	cbi_p
CBIuabcpp	1	adp_c
CBIuabcpp	1	cbi_c
CBIuabcpp	1	h_c
CBIuabcpp	1	pi_c
CBL1abcpp	1	adp_c
CBL1abcpp	1	cbl1_c
CBL1abcpp	1	h_c
CBL1abcpp	1	pi_c
CBMKr	1	adp_c
CBMKr	1	cbp_c
CBMKr	2.0	h_c
CBPS	2.0	adp_c
CBPS	1	cbp_c
CBPS	1	glu__L_c
CBPS	2.0	h_c
CBPS	1	pi_c
CCGS	1	adp_c
CCGS	1	h_c
CCGS	1	h2o_c
CCGS	1	pi_c
CCGS	1	preq0_c
CD2abcpp	1	adp_c
CD2abcpp	1	h_c
CD2abcpp	1	pi_c
CD2abcpp	1	cd2_p
CD2t3pp	1	h_c
CD2t3pp	1	cd2_p
CDAPPA140	1	cmp_c
CDAPPA140	2.0	h_c
CDAPPA140	1	pa140_c
CDAPPA141	1	cmp_c
CDAPPA141	2.0	h_c
CDAPPA141	1	pa141_c
CDAPPA180	1	cmp_c
CDAPPA180	2.0	h_c
CDAPPA180	1	pa180_c
CDGR	2.0	nadp_c
CDGR	1	preq1_c
CDPMEK	1	2p4c2me_c
CDPMEK	1	adp_c
CDPMEK	1	h_c
CFAS160E	2.0	ahcys_c
CFAS160E	1	cpe160_c
CFAS160E	2.0	h_c
CFAS180E	2.0	ahcys_c
CFAS180E	1	cpe180_c
CFAS180E	2.0	h_c
CGLYabcpp	1	adp_c
CGLYabcpp	1	cgly_c
CGLYabcpp	1	h_c
CGLYabcpp	1	pi_c
CGLYtex	1	cgly_p
CHLt2pp	1	chol_c
CHLt2pp	1	h_c
CHORM	1	pphn_c
CHRPL	1	4hbz_c
CHRPL	1	pyr_c
CHTBSptspp	1	chtbs6p_c
CHTBSptspp	1	pyr_c
CHTBStex	1	chtbs_p
CINNDO	1	cenchddd_c
CINNDO	1	nad_c
CITL	1	ac_c
CITL	1	oaa_c
CITtex	1	cit_p
CLIPAabctex	1	adp_c
CLIPAabctex	1	h_c
CLIPAabctex	1	pi_c
CLIPAabctex	1	lipa_cold_e
CLPNH140pp	1	h_p
CLPNH140pp	1	pa140_p
CLPNH140pp	1	pg140_p
CLPNH160pp	1	h_p
CLPNH160pp	1	pa160_p
CLPNH160pp	1	pg160_p
CLPNH161pp	1	h_p
CLPNH161pp	1	pa161_p
CLPNH161pp	1	pg161_p
CLPNH181pp	1	h_p
CLPNH181pp	1	pa181_p
CLPNH181pp	1	pg181_p
CLPNS141pp	1	clpn141_p
CLPNS141pp	1	glyc_p
CLPNS160pp	1	clpn160_p
CLPNS160pp	1	glyc_p
CLPNS180pp	1	clpn180_p
CLPNS180pp	1	glyc_p
CLt3_2pp	2.0	cl_c
CLt3_2pp	1	h_p
CLtex	1	cl_p
CMPN	1	csn_c
CMPN	1	r5p_c
CO2tex	1	co2_p
CO2tpp	1	co2_c
COBALT2abcpp	1	adp_c
COBALT2abcpp	1	h_c
COBALT2abcpp	1	pi_c
COBALT2abcpp	1	cobalt2_p
COLIPAPabctex	1	adp_c
COLIPAPabctex	1	h_c
COLIPAPabctex	1	pi_c
COLIPAPabctex	1	colipap_e
COLIPAabcpp	1	adp_c
