bigg_reaction_id	stoichiometry	substrate_bigg_id
ARGAGMt7pp	1	agm_c
ARGAGMt7pp	1	arg__L_p
ARGDC	1	arg__L_c
ARGDC	1	h_c
ARGDCpp	1	arg__L_p
ARGDCpp	1	h_p
ARGSS	1	asp__L_c
ARGSS	1	atp_c
ARGSS	1	citr__L_c
ARGTRS	1	arg__L_c
ARGTRS	1	atp_c
ARGTRS	1	trnaarg_c
ARGt3pp	1	arg__L_c
ARGt3pp	1	h_p
ARGtex	1	arg__L_e
ASAD	1	aspsa_c
ASAD	1	nadp_c
ASAD	1	pi_c
ASCBPL	1	ascb6p_c
ASCBPL	1	h2o_c
ASCBtex	1	ascb__L_e
ASNN	1	asn__L_c
ASNN	1	h2o_c
ASNS2	1	asp__L_c
ASNS2	1	atp_c
ASNS2	1	nh4_c
ASNabcpp	1	atp_c
ASNabcpp	1	h2o_c
ASNabcpp	1	asn__L_p
ASNt2rpp	1	asn__L_p
ASNt2rpp	1	h_p
ASNtex	1	asn__L_e
ASPO3	1	asp__L_c
ASPO3	1	q8_c
ASPO4	1	asp__L_c
ASPO4	1	mqn8_c
ASPT	1	asp__L_c
ASPTA	1	akg_c
ASPTA	1	asp__L_c
ASPTRS	1	asp__L_c
ASPTRS	1	atp_c
ASPTRS	1	trnaasp_c
ASPabcpp	1	atp_c
ASPabcpp	1	h2o_c
ASPabcpp	1	asp__L_p
ASPt2_2pp	1	asp__L_p
ASPt2_2pp	2.0	h_p
ASPtex	1	asp__L_e
AST	1	arg__L_c
AST	1	succoa_c
ATHRDHr	1	athr__L_c
ATHRDHr	1	nadp_c
ATPHs	1	atp_c
ATPHs	1	h_c
ATPHs	1	h2o_c
ATPM	1	atp_c
ATPM	1	h2o_c
ATPS4rpp	1	adp_c
ATPS4rpp	1	pi_c
ATPS4rpp	4.0	h_p
BALAt2pp	1	ala_B_p
BALAt2pp	1	h_p
BETALDHx	1	betald_c
BETALDHx	1	h2o_c
BETALDHx	1	nad_c
BMOCOS	1	moco_c
BMOCOS	1	mptamp_c
BUTCT	1	accoa_c
BUTCT	1	but_c
BUTSO3abcpp	1	atp_c
BUTSO3abcpp	1	h2o_c
BUTSO3abcpp	1	butso3_p
BUTt2rpp	1	but_p
BUTt2rpp	1	h_p
BUTtex	1	but_e
BWCOGDS1	1	bwco_c
BWCOGDS1	1	gtp_c
BWCOGDS1	1	h_c
BWCOS	1	mptamp_c
BWCOS	1	wco_c
CA2t3pp	1	ca2_c
CA2t3pp	1	h_p
CA2tex	1	ca2_e
CBItonex	1	cbi_e
CBItonex	1	h_p
CBIuabcpp	1	atp_c
CBIuabcpp	1	h2o_c
CBIuabcpp	1	cbi_p
CBL1abcpp	1	atp_c
CBL1abcpp	1	h2o_c
CBL1abcpp	1	cbl1_p
CBMKr	1	atp_c
CBMKr	1	co2_c
CBMKr	1	nh4_c
CBPS	2.0	atp_c
CBPS	1	gln__L_c
CBPS	1	h2o_c
CBPS	1	hco3_c
CCGS	1	atp_c
CCGS	1	cdg_c
CCGS	1	nh4_c
CD2abcpp	1	atp_c
CD2abcpp	1	cd2_c
CD2abcpp	1	h2o_c
CD2t3pp	1	cd2_c
CD2t3pp	1	h_p
CDAPPA140	1	cdpdtdecg_c
CDAPPA140	1	h2o_c
CDAPPA141	1	cdpdtdec7eg_c
CDAPPA141	1	h2o_c
CDAPPA180	1	cdpdodecg_c
CDAPPA180	1	h2o_c
CDGR	3.0	h_c
CDGR	2.0	nadph_c
CDGR	1	preq0_c
CDPMEK	1	4c2me_c
CDPMEK	1	atp_c
CFAS160E	2.0	amet_c
CFAS160E	1	pe161_c
CFAS180E	2.0	amet_c
CFAS180E	1	pe181_c
CGLYabcpp	1	atp_c
CGLYabcpp	1	h2o_c
CGLYabcpp	1	cgly_p
CGLYtex	1	cgly_e
CHLt2pp	1	chol_p
CHLt2pp	1	h_p
CHORM	1	chor_c
CHRPL	1	chor_c
CHTBSptspp	1	pep_c
CHTBSptspp	1	chtbs_p
CHTBStex	1	chtbs_e
CINNDO	1	cinnm_c
CINNDO	1	h_c
CINNDO	1	nadh_c
CINNDO	1	o2_c
CITL	1	cit_c
CITtex	1	cit_e
CLIPAabctex	1	atp_c
CLIPAabctex	1	h2o_c
CLIPAabctex	1	lipa_cold_p
CLPNH140pp	1	clpn140_p
CLPNH140pp	1	h2o_p
CLPNH160pp	1	clpn160_p
CLPNH160pp	1	h2o_p
CLPNH161pp	1	clpn161_p
CLPNH161pp	1	h2o_p
CLPNH181pp	1	clpn181_p
CLPNH181pp	1	h2o_p
CLPNS141pp	2.0	pg141_p
CLPNS160pp	2.0	pg160_p
CLPNS180pp	2.0	pg180_p
CLt3_2pp	1	h_c
CLt3_2pp	2.0	cl_p
CLtex	1	cl_e
CMPN	1	cmp_c
CMPN	1	h2o_c
CO2tex	1	co2_e
CO2tpp	1	co2_p
COBALT2abcpp	1	atp_c
COBALT2abcpp	1	cobalt2_c
COBALT2abcpp	1	h2o_c
COLIPAPabctex	1	atp_c
COLIPAPabctex	1	h2o_c
COLIPAPabctex	1	colipap_p
COLIPAabcpp	1	atp_c
COLIPAabcpp	1	colipa_c
COLIPAabcpp	1	h2o_c
COLIPAabctex	1	atp_c
COLIPAabctex	1	h2o_c
COLIPAabctex	1	colipa_p
CPGNR1	2.0	cpgn_c
CPGNR1	1	fadh2_c
CPGNR2	2.0	cpgn_c
CPGNR2	1	fmnh2_c
CPGNUtpp	1	cpgn_un_c
CPGNUtpp	1	h_p
CPGNabcpp	1	atp_c
CPGNabcpp	1	h2o_c
CPGNabcpp	1	cpgn_p
CPMPS	1	gtp_c
CPMPS	1	h2o_c
CRNBTCT	1	bbtcoa_c
CRNBTCT	1	crn_c
CRNDCAL2	1	atp_c
CRNDCAL2	1	coa_c
CRNDCAL2	1	crn__D_c
CRNDabcpp	1	atp_c
CRNDabcpp	1	h2o_c
CRNDabcpp	1	crn__D_p
CRNt2rpp	1	crn_p
CRNt2rpp	1	h_p
CRNt8pp	1	crn__D_c
CRNt8pp	1	crn_p
CRNtex	1	crn_e
CS	1	accoa_c
CS	1	h2o_c
CS	1	oaa_c
CSND	1	csn_c
CSND	1	h_c
CSND	1	h2o_c
CSNt2pp	1	csn_p
CSNt2pp	1	h_p
CTBTabcpp	1	atp_c
CTBTabcpp	1	h2o_c
CTBTabcpp	1	ctbt_p
CTBTt2rpp	1	ctbt_p
CTBTt2rpp	1	h_p
CTECOAI6	1	tdecoa_c
CTECOAI7	1	hdcoa_c
CTECOAI8	1	odecoa_c
CU1Opp	4.0	cu_p
CU1Opp	4.0	h_p
CU1Opp	1	o2_p
CU2tex	1	cu2_e
CU2tpp	1	cu2_p
CYANST	1	cyan_c
CYANST	1	tsul_c
CYNTAH	1	cynt_c
CYNTAH	3.0	h_c
CYNTAH	1	hco3_c
CYNTtex	1	cynt_e
CYSDabcpp	1	atp_c
CYSDabcpp	1	h2o_c
CYSDabcpp	1	cys__D_p
