bigg_id	universal_bigg_id	name
glyc_e	glyc	Glycerol
gsn_e	gsn	Guanosine
gthox_e	gthox	Oxidized glutathione
gua_e	gua	Guanine
hdcea_e	hdcea	Hexadecenoate (n-C16:1)
idon__L_e	idon__L	L-Idonate
ile__L_e	ile__L	L-Isoleucine
isetac_e	isetac	Isethionic acid
k_e	k	Potassium
maltttr_e	maltttr	Maltotetraose
met__D_e	met__D	D-Methionine
mg2_e	mg2	Magnesium
mincyc_e	mincyc	Minocycline
minohp_e	minohp	Myo-Inositol hexakisphosphate
mnl_e	mnl	D-Mannitol
mso3_e	mso3	Methanesulfonate
n2o_e	n2o	Nitrous oxide
no2_e	no2	Nitrite
novbcn_e	novbcn	Novobiocin
o16a4colipa_e	o16a4colipa	(O16 antigen)x4 core oligosaccharide lipid A
o2s_e	o2s	Superoxide anion
pppn_e	pppn	Phenylpropanoate
pro__L_e	pro__L	L-Proline
ptrc_e	ptrc	Putrescine
pyr_e	pyr	Pyruvate
quin_e	quin	Quinate
rfamp_e	rfamp	Rifampin
rmn_e	rmn	L-Rhamnose
sbt__D_e	sbt__D	D-Sorbitol
ser__L_e	ser__L	L-Serine
so4_e	so4	Sulfate
spmd_e	spmd	Spermidine
taur_e	taur	Taurine C2H7NO3S
thrp_e	thrp	L-Threonine O-3-phosphate
tre_e	tre	Trehalose
tyrp_e	tyrp	Phosphotyrosine
udpacgal_e	udpacgal	UDP-N-acetyl-D-galactosamine
udpg_e	udpg	UDPglucose
uri_e	uri	Uridine
xmp_e	xmp	Xanthosine 5'-phosphate
12dgr120_p	12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)
12dgr140_p	12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)
12dgr180_p	12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)
14glucan_p	14glucan	1,4-alpha-D-glucan
15dap_p	15dap	1,5-Diaminopentane
1agpe140_p	1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
1agpe160_p	1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
1agpe181_p	1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
2agpe141_p	2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
2agpe160_p	2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
2agpg120_p	2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
