ReactionID	StochCoeff	Substrates	other site
R04384	1	C00132	
R04384	1	C06021	
R03153	1	C00024	
R03153	1	C02614	
R12105	1	C21905	
R12105	1	C00003	
R08835	1	C03758	
R08835	1	C08538	
R06251	1	C00024	
R06251	1	G00275	
R04313	1	C03793	
R04313	2	C00017	
R05486	1	C00001	
R05486	1	C06607	
R04529	1	C04630	
R04529	1	C00026	
R06427	2	C00019	
R06427	1	C11910	
R02283	1	C00437	
R02283	1	C00026	
R07507	1	C05107	
R07507	1	C00080	
R07507	1	C00005	
R09306	1	C18353	
R09306	1	C00080	
R09306	1	C00005	
R08986	1	C18071	
R10745	1	C00024	
R10745	1	C06664	
R04385	1	C00002	
R04385	1	C00288	
R04385	1	C06250	
R10138	1	G10612	
R10138	1	G00164	
R00743	1	C00024	
R00743	1	C00383	
R06837	1	C00620	
R08503	1	C16737	
R07328	1	C00006	
R07328	1	C00069	
R08180	1	C00001	
R08180	1	C16169	
R08390	1	C00777	
R08390	1	C00007	
R08390	1	C03024	
R03782	1	C02289	
R08351	1	C00001	
R08351	1	C16567	
R04171	1	C03227	
R04171	1	C00026	
R04603	1	C04800	
R04603	1	C00203	
R10967	3	C00083	
R02090	1	C00002	
R02090	1	C00362	
R08798	1	C17744	
R05235	1	C00001	
R05235	1	C06577	
R05235	1	C00003	
R12120	1	C21920	
R12120	1	C00007	
R12120	1	C03024	
R12288	1	C22061	
R12288	1	C22062	
R12067	1	C19859	
R12067	1	C00030	
R12067	1	C00007	
R06322	1	C11857	
R06322	1	C00007	
R06322	1	C00026	
R08348	1	C00001	
R08348	1	C16609	
R08348	1	C00007	
R02877	1	C06317	
R02877	1	C00007	
R06196	1	C06090	
R01327	1	C00081	
R01327	1	C00159	
R09710	1	C01054	
R12184	2	C00002	
R12184	2	C06504	
R12184	1	C03024	
R09254	1	C00022	
R09254	1	C00082	
R00023	2	C00192	
R00023	2	C00003	
R03470	1	C01278	
R02917	1	C01977	
R02917	1	C00019	
R04043	1	C03820	
R04043	1	C00001	
R06380	1	C11398	
R07867	1	C16321	
R06245	1	G00289	
R06233	1	G00370	
R06233	1	C00016	
R02470	1	C00007	
R02470	1	C03024	
R02470	1	C00521	
R07573	1	C15968	
R07573	2	C00030	
R07573	2	C00007	
R02333	n	C00001	
R02333	1	C00461	
R03710	1	C00029	
R03710	1	C01772	
R10155	1	C20400	
R10155	1	C00080	
R10155	1	C00007	
R10155	1	C00005	
R11060	1	C16164	
R11060	2	C00999	
R11060	2	C00080	
R11060	1	C00007	
R03116	1	C00009	
R03116	1	C00965	
R03506	1	C01301	
R03506	1	C00001	
R03506	1	C00003	
R03679	1	C01698	
R03679	1	C00052	
R06190	1	G00071	
R06190	1	G10609	
R10131	1	C20381	
R10131	1	C00003	
R04155	1	C03179	
R07160	1	C00010	
R07160	1	C00141	
R07160	2	C00139	
R06239	1	C00001	
R06239	1	G10506	(n+2)
R12529	1	C00096	
R12529	1	C21335	(n)
R08753	1	C17438	
R08753	1	C00129	
R01866	1	C00337	
R01866	1	C00006	
R04070	1	C00001	
R04070	1	C03625	
R02213	1	C00007	
R02213	1	C03024	
R02213	1	C00410	
R10668	1	C00001	
R10668	1	C20773	
R12328	1	C00024	
R12328	n	C00083	
R12328	2n	C00080	
R12328	n	C00005	
R12328	n	C00004	
R05855	1	C09244	
R05855	1	C00007	
R05855	1	C03024	
R12574	1	C21097	
R12574	1	C22264	
R07990	1	C16404	
R12298	1	G10612	
R12298	1	G13097	
R01776	1	C00024	
R01776	1	C00263	
R08346	1	C00001	
R08346	1	C07572	
R08346	1	C00007	
R12540	1	C00079	
R12540	1	C05650	
R12540	1	C00007	
R09326	1	C18335	
R10762	1	C04217	
R10762	1	C00001	
R03755	1	C01885	
R03755	1	C00040	
R10793	1	C20851	
R10793	1	C00007	
R10793	1	C03024	
R07019	1	C14785	
R01664	1	C00001	
R01664	1	C00239	
R07654	3	C00030	
R07654	1	C16145	
R07654	3	C00007	
R11318	1	G10615	
R11318	1	G10770	
R12059	1	C00002	
R12059	1	C21851	
R03191	1	C01050	
R03191	1	C00003	
R04034	1	C00001	
R04034	1	C02737	
R08255	1	C00001	
R08255	1	C16641	
R01269	1	C00153	
R01269	1	C00019	
R01269	1	C00080	
R00275	2	C00704	
R00275	2	C00080	
R01270	1	C00001	
R01270	1	C00455	
R02455	1	C00514	
R02455	1	C00003	
R09239	1	C18250	
R11368	1	C21309	
R11368	1	C00080	
R11368	1	C00007	
R11368	1	C01352	
R11368	1	C00698	
R01589	1	C00001	
R01589	1	C02294	
R05932	1	G10611	
R05932	1	G00159	
R07135	1	C00392	
R07135	1	C00003	
R03327	1	C05138	
R03327	1	C00003	
R04658	1	C04121	
R04658	1	C04919	
R11064	1	C00002	
R11064	1	C00041	
R11064	1	C20941	
R00102	1	C00001	
R00102	1	C00003	
R00478	1	C03961	
R08869	1	C17946	
R00190	1	C00013	
R00190	1	C00020	
R03051	1	C00900	
R03051	1	C00080	
R03051	1	C00005	
R05718	1	C00007	
R05718	1	C01595	
R10063	2	C00029	
R10063	1	C16301	
R04888	1	C00001	
R04888	1	C05581	
R04888	1	C00003	
R09775	1	C00002	
R09775	1	C00956	
R09775	1	C19885	
R09390	1	C19083	
R09390	1	C00080	
R09390	1	C00007	
R09390	1	C00005	
R06340	1	C11905	
R01521	1	C00221	
R01521	1	C00006	
R04283	1	C00001	
R04283	1	C03680	
R06244	1	C00007	
R06244	1	G00289	
R01650	1	C00232	
R01650	1	C01326	
R01650	1	C00014	
R03748	1	C01876	
R03748	1	C00028	
R05935	1	G10612	
R05935	1	G00162	
R04100	1	C02944	
R05665	1	C07211	
R05665	1	C00080	
R05665	1	C00007	
R05665	1	C00004	
R09567	4	C00080	
R09567	1	C19698	
R09567	4	C00007	
R09567	4	C00004	
R05795	1	C00002	
R05795	1	C01277	
R03091	1	C00167	
R03091	1	C00951	
R11936	1	C00019	
R11936	1	C21779	
R01177	1	C00024	
R01177	1	C00136	
R01325	1	C00158	
R04208	1	C00002	
R04208	1	C04640	
R05243	1	C06599	
R05243	1	C00003	
R07204	1	C05452	
R07204	1	C00007	
R07204	1	C03024	
R00230	1	C00024	
R00230	1	C00009	
R05881	1	C11810	
R05881	1	C00019	
R12187	1	C03889	
R12187	1	C04919	
R12071	1	C21876	
R12071	1	C00007	
R12071	1	C03024	
R07788	1	C15797	
R06036	1	C00095	
R06036	1	G10608	
R06468	1	C11953	
R06468	1	C00007	
R06468	1	C00005	
R10591	1	C20715	
R10591	1	C00007	
R10591	1	C03024	
R09447	1	C00001	
R09447	1	C00191	
R09447	1	C00003	
R00785	1	C00001	
R00785	1	C05357	
R00785	1	C00533	
R05895	1	C00398	
R05895	1	C11816	
R07136	1	C11537	
R07136	1	C00003	
R09309	1	C18353	
R09309	1	C00080	
R09309	1	C00005	
R11386	1	C21331	
R04068	1	C00002	
R04068	1	C00001	
R04068	1	C02835	
R04068	1	C00119	
R03115	1	C00001	
R03115	1	C00965	
R09117	1	C11902	
R02535	1	C03758	
R02535	2	C00072	
R02535	1	C00007	
R05466	1	C00007	
R05466	1	C06656	
R05466	1	C00026	
R06089	1	G10615	
R06089	1	G00078	
R10403	1	C20444	
R10403	1	C00019	
R02388	1	C00292	
R02388	1	C00029	
R10324	1	C00001	
R10324	1	C00028	
R10324	1	C00577	
R11921	1	C21769	
R00440	1	C00046	
R00440	1	C00009	
R05592	1	C00001	
R05592	1	C09813	
R02013	1	C00341	
R06800	1	C12641	
R06800	1	C00083	
R07309	1	C00001	
R07309	1	C02103	
R00783	1	C00001	
R00783	1	C00533	
R00783	1	C00125	
R06059	1	G00370	
R06059	1	G10497	(n)
R03474	1	C00009	
R03474	1	C01299	
R08514	1	C02306	
R08514	1	C00031	
R05769	1	C00530	
R05769	1	C00029	
R11226	1	C11242	
R11226	3	C00006	
R12287	1	C02843	
R12287	1	C01083	
R08043	1	C16393	
R08043	1	C00080	
R08043	1	C00004	
R11100	1	C02218	
R10804	1	C00052	
R10804	1	C03201	
R03383	1	C00002	
R03383	1	C00010	
R03383	1	C02170	
R06331	1	C11861	
R02662	1	C15973	
R02662	1	C00630	
R11286	1	C17712	
R10562	1	C20681	
R10562	1	C00007	
R10562	1	C03024	
R06138	1	C00001	
R06138	1	C06060	
R01520	1	C00221	
R01520	1	C00003	
R03216	1	C00001	
R03216	1	C03789	
R07603	1	C00068	
R07603	1	C00671	
R00867	1	C00002	
R00867	1	C00095	
R01587	1	C03623	
R01587	1	C00001	
R07652	2	C00448	
R03464	1	C00001	
R03464	1	C04330	
R04770	1	C00001	
R04770	1	C05335	
R07214	1	C00072	
R07214	1	C00007	
R07214	1	C01234	
R01941	1	C00010	
R01941	1	C10945	
R01941	1	C00006	
R02383	1	C00483	
R02383	1	C00080	
R02383	1	C00007	
R02383	1	C00004	
R00468	1	C00010	
R00468	1	C00006	
R00468	1	C00048	
R02741	1	C00002	
R02741	1	C00099	
R02741	1	C00669	
R05835	1	C00001	
R05835	1	C01921	
R09650	1	C00001	
R09650	1	C19781	
R12019	1	C01324	
R12019	1	C00230	
R12019	2	C00080	
R12019	1	C00007	
R12019	1	C00005	
R02800	1	C00006	
R02800	1	C00696	
R04812	1	C15614	
R04812	1	C00003	
R08530	1	C00024	
R08530	1	C00400	
R09267	1	C18334	
R09330	1	C18631	
R03122	1	C00001	
R03122	1	C00973	
R08219	1	C05172	
R08219	1	C06481	
R05657	1	C05694	
R05657	1	C11432	
R06633	1	C03198	
R06633	1	C00007	
R07348	1	C15594	
R07348	1	C00028	
R11369	1	C21309	
R08934	1	C18035	
R08036	1	C00024	
R08036	1	C16396	
R09741	1	C00162	
R09741	1	C00027	
R00715	1	C00001	
R00715	1	C00449	
R00715	1	C00003	
R08185	1	C00001	
R08185	1	C16529	
R06037	1	G10616	
R06037	1	G00067	
R08848	1	C00097	
R08848	1	C00822	
R08306	1	C16586	
R08306	1	C00003	
R00039	2	C00492	
R01511	1	C00001	
R01511	1	C00197	
R10961	1	C00030	
R10961	1	C00512	
R06216	1	G10616	
R06216	1	G00067	
R07279	1	C00002	
R07279	1	C00137	
R04125	1	C00101	
R04125	1	C01242	
R11983	1	C21827	
R11983	1	C00007	
R11983	1	C03024	
R03586	1	C01510	
R03586	1	C00006	
R01508	1	C00030	
R01508	1	C00007	
R01508	1	C00587	
R11538	1	C00002	
R11538	1	C21448	
R10226	1	C18167	
R10226	1	C00006	
R03692	1	C00001	
R03692	1	C02274	
R06266	1	C11829	
R06266	1	C00080	
R06266	1	C00007	
R06266	1	C00005	
R11737	1	C00051	
R11737	1	C00007	
R11737	1	C03024	
R11737	1	C19714	
R12331	1	C22083	
R12331	1	C00014	
R07881	1	C00001	
R07881	1	C14120	
R10124	1	C00041	
R10124	1	C19845	
R03701	1	C01756	
